Activity Type,Date,Favorite,Title,Race,Distance,Calories,Time,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Bike Cadence,Training Stress Score®,Grit,Flow,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Runs,Max Temp
Running,4/6/2019 17:06,FALSE,Pittsburgh Running,,10.03,801,1:41:05,177,202,10:05,6:01,481,482,0.9,0,0,--,0,0,0,0:00,0,0:00,No,00:16.8,11,0
Running,3/18/2017 6:51,FALSE,Alameda Running,,10.02,794,1:46:52,163,197,10:40,6:55,18,18,0.93,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,3/21/2015 7:43,FALSE,Alameda Running,,10.02,817,1:33:07,--,--,9:17,7:35,15,17,0,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,6/3/2017 7:06,FALSE,Alameda Running,,10.01,789,2:01:04,135,201,12:06,6:27,4,13,0.99,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,9/20/2014 20:00,FALSE,running,,10,764,1:30:00,--,--,9:00,--,--,--,0,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,2/21/2015 8:36,FALSE,Alameda Running,,9.42,770,1:29:00,--,--,9:27,7:16,5,5,0,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,7/11/2015 8:47,FALSE,Alameda Running,,9.25,761,1:28:17,136,193,9:33,7:08,6,13,1.24,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,4/5/2014 7:53,FALSE,Untitled,,9.24,752,1:21:56,--,--,8:52,6:42,173,139,0,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,5/3/2014 7:58,FALSE,Untitled,,9.17,744,1:21:41,--,--,8:54,7:00,8,8,0,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,12/12/2015 8:51,FALSE,Alameda Running,,9.14,748,1:28:57,178,197,9:44,7:11,11,14,0.93,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,3/26/2016 7:00,FALSE,Alameda Running,,9.08,745,1:29:44,176,195,9:53,7:18,6,13,0.93,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
